Date of Sale,Address,Location,Area,Total Area,Rooms,Plot,Closing Price
23 november 2017,Sjöhåla 580,"Kovikshamn,Kungälvskommun",94+87,181.0,5,1068,3100000
18 november 2017,Galeasgatan 15,"Kungälv,Kungälvskommun",103+64,167.0,5,610,3850000
17 november 2017,Västerhöjdsvägen 36,"Kärna,Kungälvskommun",107,,5,258,4000000
16 november 2017,Gråstensvägen 19,"KodeHalltorp,Kungälvskommun",94,,5,1197,3200000
16 november 2017,Hägnan 135,"KAREBY,Kungälvskommun",235,,6,104335,8800000
15 november 2017,Rishammarvägen 17,"Kareby,Kungälvskommun",120+80,200.0,6,1142,4375000
10 november 2017,Nygatan 14,"Marstrand-Koön,Kungälvskommun",167+80,247.0,6,677,10800000
5 november 2017,Granndalen 7,"Lycke,Kungälvskommun",50,,2,1465,1875000
1 november 2017,Skårby 670,"Kareby,Kungälvskommun",143,,6,4813,3000000
1 november 2017,Kodevägen 3,"KODE,Kungälvskommun",150+50,200.0,7,2025,4300000
31 oktober 2017,Matskärsvägen 12A,"Lycke,Kungälvskommun",145,,6,249,4500000
31 oktober 2017,Årsnäs 290,"Årsnäs,Kungälvskommun",167,,5,2558,4950000
27 oktober 2017,Staby 350,"Kärna,Kungälvskommun",110+80,190.0,4,911,2425000
27 oktober 2017,Vråstigen 6,"Överön/Vråkärr,Kungälvskommun",100,,3,1453,2475000
26 oktober 2017,Bergkristallvägen 23,"Kode,Kungälvskommun",130,,5,504,4780000
23 oktober 2017,Östra Gatan 9,"Centrum,Kungälvskommun",325+82,407.0,10,359,7900000
21 oktober 2017,Kållen 160,"Norrmannebo,Kungälvskommun",88,,4,1819,1650000
20 oktober 2017,Fredkullagatan 8,"Komarken,Kungälvskommun",175+100,275.0,6,741,7160000
20 oktober 2017,Jakobsvägen 7,"Kode,Kungälvskommun",188,,3,1324,5475000
16 oktober 2017,Mjölnarvägen 13,"Diseröd,Kungälvskommun",158+59,217.0,7,899,3965000
13 oktober 2017,Klövergången 15,"Centrum,Kungälvskommun",125,,4,401,4150000
13 oktober 2017,Kulperödsvägen 5A,"Gullbringa,Kungälvskommun",100+20,120.0,5,450,2495000
13 oktober 2017,Stora Ryr 130,"Lycke,Kungälvskommun",80+20,100.0,5,2270,1600000
12 oktober 2017,Röd 140,"Kareby,Kungälvskommun",122+11,133.0,4,2052,3400000
12 oktober 2017,Smaragdvägen 48,"Kode,Kungälvskommun",133,,5,368,3700000
10 oktober 2017,Ulvesund 405,"Ytterby-Ulvesund,Kungälvskommun",72,,3,681,2670000
9 oktober 2017,Åsebyberg 853,"Åseby,Kungälvskommun",137,,5,1462,4150000
6 oktober 2017,Toftebergsvägen 2,"Tjuvkil,Kungälvskommun",84,,3.5,1085,3700000
5 oktober 2017,Kärnavägen 4,"Kärna,Kungälvskommun",110+90,200.0,7,860,4100000
5 oktober 2017,Enekullsvägen 28,"Enekullen,Kungälvskommun",125+18,143.0,4,789,4100000
3 oktober 2017,Skårshöjd 8,"Kärna,Kungälvskommun",120+40,160.0,5,900,2700000
2 oktober 2017,Lundby 280,"Kareby1,Kungälvskommun",85,,4,2056,3250000
29 september 2017,Rosenstensvägen 3,"Kode,Kungälvskommun",143,,6,458,4000000
25 september 2017,Bräcke 330,"Kärna,Kungälvskommun",86,,4,1188,2800000
22 september 2017,Ulvesund 419,"Kungälv-Ulvesund,Kungälvskommun",65,,2,688,2710000
21 september 2017,Bergåsvägen 23,"Ytterby,Kungälvskommun",131+37,168.0,5,1267,4575000
